entryid,childDownloadUrl,parentDownloadUrl,name,result
1_vwwqv4uz,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_q53gxae8/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_vwwqv4uz/format/download/protocol/https/flavorParamIds/0,WR1_Anastasiia_Vollmar,OK
1_tcojylob,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_dpa4eci1/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_tcojylob/format/download/protocol/https/flavorParamIds/0,"WR1_Betül_Bolat- Januar 23. 2021, 1:34:21 pm",OK
1_3kpdt4x1,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_87zf178a/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_3kpdt4x1/format/download/protocol/https/flavorParamIds/0,"WR1_Özge_Ipek, 1:46:22 pm",OK
1_t5wkogmq,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_unnge71w/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_t5wkogmq/format/download/protocol/https/flavorParamIds/0,"Kaltura Capture recording - Januar 23. 2021, 1:35:25 pm",OK
1_iwmq2rsy,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_nl1usfts/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_iwmq2rsy/format/download/protocol/https/flavorParamIds/0,WR1_Luca _Kitschmann,OK
1_7tsszjvr,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_hh00dprm/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_7tsszjvr/format/download/protocol/https/flavorParamIds/0,"WR1 - Anton Schefer - Januar 23. 2021, 1:42:44 pm",OK
1_t02w6xuj,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_8qna7mpf/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_t02w6xuj/format/download/protocol/https/flavorParamIds/0,WR1_Amina_Alicajic,OK
1_y7l86gou,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_99ggax12/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_y7l86gou/format/download/protocol/https/flavorParamIds/0,WR1_Alessia_Ferrarini ,OK
1_t10n72dn,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_evgdhbfn/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_t10n72dn/format/download/protocol/https/flavorParamIds/0,WR1-HS-20_21_Nadia_Marsura,OK
1_ze4l8fe7,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_9khgkq7r/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ze4l8fe7/format/download/protocol/https/flavorParamIds/0,WR_1_Teuta_Rasiti,OK
